Station,Location,Day,Time
Location 1: Regents Drive @ Route 1,Sidewalk,4,8
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,9
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,10
Location 1: Regents Drive @ Route 1,Sidewalk,4,11
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,12
Location 1: Regents Drive @ Route 1,Sidewalk,4,13
Location 1: Regents Drive @ Route 1,Sidewalk,4,13
Location 1: Regents Drive @ Route 1,Sidewalk,4,13
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,16
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,17
Location 1: Regents Drive @ Route 1,Sidewalk,4,18
Location 1: Regents Drive @ Route 1,Sidewalk,4,18
Location 1: Regents Drive @ Route 1,Sidewalk,4,18
Location 1: Regents Drive @ Route 1,Sidewalk,4,18
Location 1: Regents Drive @ Route 1,Sidewalk,4,18
Location 1: Regents Drive @ Route 1,Street,3,9
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,10
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,12
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,13
Location 1: Regents Drive @ Route 1,Street,3,14
Location 1: Regents Drive @ Route 1,Street,3,15
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,16
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,17
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,3,18
Location 1: Regents Drive @ Route 1,Street,4,8
Location 1: Regents Drive @ Route 1,Street,4,8
Location 1: Regents Drive @ Route 1,Street,4,8
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,9
Location 1: Regents Drive @ Route 1,Street,4,10
Location 1: Regents Drive @ Route 1,Street,4,10
Location 1: Regents Drive @ Route 1,Street,4,10
Location 1: Regents Drive @ Route 1,Street,4,10
Location 1: Regents Drive @ Route 1,Street,4,12
Location 1: Regents Drive @ Route 1,Street,4,16
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,17
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 1: Regents Drive @ Route 1,Street,4,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,17
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,3,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,12
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,17
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,17
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,17
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Sidewalk,4,18
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,13
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
Location 2: Mowatt Lane Garage Exit at Knox Road,Street,3,16
