Station,Location,Day,Time,Count
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,8,13
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,9,23
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,10,21
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,11,8
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,12,22
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,13,28
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,14,6
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,16,38
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,17,32
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,3,18,15
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,8,21
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,9,40
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,10,49
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,11,7
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,12,45
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,13,31
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,14,10
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,16,19
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,17,34
Location 5: Campus Drive at Paint Branch Drive,Sidewalk,4,18,24
Location 5: Campus Drive at Paint Branch Drive,Street,3,8,5
Location 5: Campus Drive at Paint Branch Drive,Street,3,9,6
Location 5: Campus Drive at Paint Branch Drive,Street,3,10,12
Location 5: Campus Drive at Paint Branch Drive,Street,3,11,9
Location 5: Campus Drive at Paint Branch Drive,Street,3,12,11
Location 5: Campus Drive at Paint Branch Drive,Street,3,13,14
Location 5: Campus Drive at Paint Branch Drive,Street,3,14,2
Location 5: Campus Drive at Paint Branch Drive,Street,3,16,10
Location 5: Campus Drive at Paint Branch Drive,Street,3,17,9
Location 5: Campus Drive at Paint Branch Drive,Street,3,18,2
Location 5: Campus Drive at Paint Branch Drive,Street,4,8,3
Location 5: Campus Drive at Paint Branch Drive,Street,4,9,13
Location 5: Campus Drive at Paint Branch Drive,Street,4,10,13
Location 5: Campus Drive at Paint Branch Drive,Street,4,12,25
Location 5: Campus Drive at Paint Branch Drive,Street,4,13,9
Location 5: Campus Drive at Paint Branch Drive,Street,4,14,2
Location 5: Campus Drive at Paint Branch Drive,Street,4,16,17
Location 5: Campus Drive at Paint Branch Drive,Street,4,17,10
Location 5: Campus Drive at Paint Branch Drive,Street,4,18,7
Location 6: Campus Drive at the Stamp,Sidewalk,3,8,6
Location 6: Campus Drive at the Stamp,Sidewalk,3,9,18
Location 6: Campus Drive at the Stamp,Sidewalk,3,11,4
Location 6: Campus Drive at the Stamp,Sidewalk,3,12,20
Location 6: Campus Drive at the Stamp,Sidewalk,3,13,42
Location 6: Campus Drive at the Stamp,Sidewalk,3,14,12
Location 6: Campus Drive at the Stamp,Sidewalk,3,16,18
Location 6: Campus Drive at the Stamp,Sidewalk,3,17,19
Location 6: Campus Drive at the Stamp,Sidewalk,3,18,15
Location 6: Campus Drive at the Stamp,Sidewalk,4,8,4
Location 6: Campus Drive at the Stamp,Sidewalk,4,9,20
Location 6: Campus Drive at the Stamp,Sidewalk,4,10,19
Location 6: Campus Drive at the Stamp,Sidewalk,4,11,3
Location 6: Campus Drive at the Stamp,Sidewalk,4,12,3
Location 6: Campus Drive at the Stamp,Sidewalk,4,13,27
Location 6: Campus Drive at the Stamp,Sidewalk,4,14,6
Location 6: Campus Drive at the Stamp,Sidewalk,4,16,11
Location 6: Campus Drive at the Stamp,Sidewalk,4,17,25
Location 6: Campus Drive at the Stamp,Sidewalk,4,18,13
Location 6: Campus Drive at the Stamp,Street,3,8,1
Location 6: Campus Drive at the Stamp,Street,3,9,3
Location 6: Campus Drive at the Stamp,Street,3,11,1
